    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  248   100.0%  26.1   0.0025    0.0239   0.83   0.003353    0.335%
  249   100.0%  25.9   0.0025    0.0266   0.86   0.003446    0.345%
  250   100.0%  24.7   0.0032    0.0332   0.89   0.003565    0.357%
  251   100.0%  29.3   0.0013    0.0158   0.91   0.003614    0.361%
  252   100.0%  29.5    0.001    0.0158   0.92   0.003662    0.366%
  253   100.0%  26.8    0.002    0.0235   0.95   0.003741    0.374%
  254   100.0%  29.9    0.001    0.0152   0.96   0.003786    0.379%
  255   100.0%  29.7    0.001    0.0149   0.98   0.003829    0.383%
  256   100.0%  27.3    0.002    0.0221   1.00   0.003900    0.390%
  257   100.0%  30.1    0.001    0.0144   1.01   0.003941    0.394%
  258   100.0%  30.2    0.001    0.0146   1.03   0.003983    0.398%
  259   100.0%  23.6    0.004    0.0361   1.06   0.004107    0.411%
  260   100.0%  25.9   0.0025    0.0281   1.09   0.004199    0.420%
  261   100.0%  27.7   0.0016    0.0207   1.11   0.004262    0.426%
  262   100.0%  24.0    0.004    0.0332   1.15   0.004373    0.437%
  263   100.0%  26.4   0.0025    0.0251   1.17   0.004452    0.445%
  264   100.0%  29.0   0.0013    0.0175   1.19   0.004501    0.450%
  265   100.0%  28.7   0.0013    0.0185   1.21   0.004554    0.455%
  266   100.0%  28.3   0.0016    0.0205   1.23   0.004614    0.461%
  267   100.0%  23.5    0.004    0.0354   1.26   0.004729    0.473%
  268   100.0%  25.4   0.0032    0.0295   1.29   0.004822    0.482%
  269   100.0%  22.8    0.005    0.0362   1.33   0.004938    0.494%
  270   100.0%  22.9    0.005    0.0382   1.37   0.005062    0.506%
  271   100.0%  22.0   0.0063     0.045   1.41   0.005209    0.521%
  272   100.0%  22.6    0.005    0.0393   1.45   0.005334    0.533%
  273   100.0%  22.4   0.0063    0.0385   1.49   0.005456    0.546%
  274   100.0%  22.0   0.0063    0.0427   1.53   0.005592    0.559%
  275   100.0%  22.2   0.0063    0.0409   1.57   0.005721    0.572%
  276   100.0%  22.0   0.0063     0.043   1.62   0.005856    0.586%
  277   100.0%  26.8    0.002    0.0233   1.64   0.005919    0.592%
  278   100.0%  26.8    0.002    0.0239   1.66   0.005983    0.598%
  279   100.0%  27.3    0.002    0.0212   1.68   0.006038    0.604%
  280   100.0%  25.6   0.0025    0.0277   1.71   0.006115    0.611%
  281   100.0%  20.4     0.01    0.0505   1.76   0.006273    0.627%
  282   100.0%  21.0   0.0079    0.0468   1.81   0.006417    0.642%
  283   100.0%  20.4     0.01    0.0493   1.86   0.006568    0.657%
  284   100.0%  21.2   0.0079    0.0432   1.90   0.006697    0.670%
  285   100.0%  20.0     0.01    0.0517   1.95   0.006855    0.686%
  286   100.0%  22.7    0.005    0.0369   1.99   0.006960    0.696%
  287   100.0%  21.5   0.0079    0.0431   2.03   0.007086    0.709%
  288   100.0%  21.5   0.0079    0.0466   2.08   0.007223    0.722%
  289   100.0%  22.2   0.0063    0.0402   2.12   0.007337    0.734%
  290   100.0%  20.4     0.01    0.0505   2.17   0.007486    0.749%
  291   100.0%  20.1     0.01    0.0478   2.22   0.007624    0.762%
  292   100.0%  24.4    0.004    0.0268   2.25   0.007690    0.769%
  293   100.0%  24.5    0.004    0.0288   2.27   0.007762    0.776%
  294   100.0%  18.3    0.016    0.0652   2.34   0.007957    0.796%
  295   100.0%  19.2    0.013    0.0574   2.40   0.008125    0.812%
  296   100.0%  17.4     0.02    0.0698   2.47   0.008333    0.833%
  297   100.0%  21.3   0.0079    0.0424   2.51   0.008448    0.845%
  298   100.0%  19.4    0.013    0.0521   2.56   0.008594    0.859%
  299   100.0%  19.1    0.013    0.0553   2.62   0.008751    0.875%
  300   100.0%  17.8    0.016    0.0666   2.68   0.008943    0.894%
  301   100.0%  13.6     0.04    0.0874   2.77   0.009204    0.920%

    L   1.0000   0.5000   0.2500   0.1000   1.0000   0.5000   0.2500   0.1000
-----  -------  -------  -------  -------  -------  -------  -------  -------
  302   100061    49607    20958     2576   32.70%   16.21%    6.85%    0.84%
  301   106300    56326    26290     4833   34.74%   18.41%    8.59%    1.58%
  300   110315    59891    28769     5726   36.05%   19.57%    9.40%    1.87%
  299   113377    62353    30270     6396   37.06%   20.38%    9.89%    2.09%
  298   116169    64558    31575     7056   37.97%   21.10%   10.32%    2.31%
  297   118549    66391    32662     7525   38.75%   21.70%   10.68%    2.46%
  296   123333    71176    36125     9058   40.31%   23.26%   11.81%    2.96%
  295   126979    74644    37965    10070   41.50%   24.40%   12.41%    3.29%
  294   131466    79765    42348    12308   42.97%   26.07%   13.84%    4.02%
  293   133121    81269    43336    12689   43.51%   26.56%   14.16%    4.15%
  292   134673    82600    44203    13128   44.02%   27.00%   14.45%    4.29%
  291   137802    86354    47295    14889   45.04%   28.22%   15.46%    4.87%
  290   141118    89696    50248    16411   46.12%   29.32%   16.42%    5.36%
  289   143746    92231    52168    17467   46.98%   30.14%   17.05%    5.71%
  288   146673    95014    54354    18646   47.94%   31.05%   17.76%    6.09%
  287   149295    97427    56051    20040   48.79%   31.84%   18.32%    6.55%
  286   151595    99717    57683    21250   49.55%   32.59%   18.85%    6.95%
  285   155493   104805    62692    24518   50.82%   34.25%   20.49%    8.01%
  284   158489   107987    64984    26425   51.80%   35.29%   21.24%    8.64%
  283   161973   112386    69559    30104   52.94%   36.73%   22.73%    9.84%
  282   165224   115900    72598    32573   54.00%   37.88%   23.73%   10.65%
  281   169046   120353    77347    36624   55.25%   39.34%   25.28%   11.97%
  280   170870   122298    79259    38374   55.85%   39.97%   25.90%   12.54%
  279   172161   123624    80362    39200   56.27%   40.40%   26.27%   12.81%
  278   173723   125173    81666    40244   56.78%   40.91%   26.69%   13.15%
  277   175326   126700    82849    41243   57.30%   41.41%   27.08%   13.48%
  276   178525   130542    86434    44713   58.35%   42.67%   28.25%   14.61%
  275   181495   134201    90058    48506   59.32%   43.86%   29.43%   15.85%
  274   184666   138023    93893    52431   60.36%   45.11%   30.69%   17.14%
  273   187440   141165    97011    55798   61.26%   46.14%   31.71%   18.24%
  272   190567   144605   100037    59075   62.28%   47.26%   32.70%   19.31%
