    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  182   100.0%  26.0   0.0025    0.0255   1.06   0.005813    0.581%
  183   100.0%  29.6    0.001     0.016   1.07   0.005869    0.587%
  184   100.0%  30.1    0.001    0.0151   1.09   0.005919    0.592%
  185   100.0%  30.8  0.00079    0.0135   1.10   0.005959    0.596%
  186   100.0%  29.3   0.0013    0.0172   1.12   0.006020    0.602%
  187   100.0%  24.6   0.0032    0.0308   1.15   0.006152    0.615%
  188   100.0%  25.4   0.0032    0.0294   1.18   0.006276    0.628%
  189   100.0%  22.9    0.005    0.0372   1.22   0.006440    0.644%
  190   100.0%  28.5   0.0016    0.0198   1.24   0.006510    0.651%
  191   100.0%  26.1   0.0025    0.0307   1.27   0.006637    0.664%
  192   100.0%  25.4   0.0032    0.0304   1.30   0.006760    0.676%
  193   100.0%  24.4    0.004     0.033   1.33   0.006897    0.690%
  194   100.0%  24.9   0.0032    0.0313   1.36   0.007022    0.702%
  195   100.0%  24.1    0.004     0.038   1.40   0.007181    0.718%
  196   100.0%  26.0   0.0025    0.0275   1.43   0.007285    0.729%
  197   100.0%  26.8    0.002    0.0239   1.45   0.007369    0.737%
  198   100.0%  23.5    0.004    0.0366   1.49   0.007517    0.752%
  199   100.0%  25.6   0.0025    0.0291   1.52   0.007625    0.763%
  200   100.0%  24.9   0.0032    0.0293   1.55   0.007734    0.773%
  201   100.0%  23.2    0.005    0.0353   1.58   0.007871    0.787%
  202   100.0%  27.8   0.0016    0.0193   1.60   0.007927    0.793%
  203   100.0%  28.1   0.0016    0.0201   1.62   0.007988    0.799%
  204   100.0%  22.8    0.005    0.0403   1.66   0.008146    0.815%
  205   100.0%  21.1   0.0079    0.0469   1.71   0.008335    0.834%
  206   100.0%  25.5   0.0032    0.0284   1.74   0.008433    0.843%
  207   100.0%  28.1   0.0016    0.0197   1.76   0.008487    0.849%
  208   100.0%  20.7   0.0079    0.0516   1.81   0.008694    0.869%
  209   100.0%  26.4   0.0025    0.0252   1.83   0.008773    0.877%
  210   100.0%  19.5     0.01    0.0551   1.89   0.008994    0.899%
  211   100.0%  17.8    0.016    0.0667   1.96   0.009267    0.927%
  212   100.0%  19.7     0.01    0.0523   2.01   0.009470    0.947%
  213   100.0%  20.7   0.0079    0.0455   2.05   0.009639    0.964%
  214   100.0%  20.6   0.0079    0.0466   2.10   0.009812    0.981%
  215   100.0%  20.9   0.0079     0.045   2.14   0.009975    0.998%
  216   100.0%  22.7    0.005    0.0383   2.18   0.010106    1.011%
  217   100.0%  18.6    0.013    0.0612   2.24   0.010342    1.034%
  218   100.0%  22.3   0.0063    0.0381   2.28   0.010470    1.047%
  219   100.0%  19.6     0.01    0.0524   2.33   0.010661    1.066%
  220   100.0%  19.3    0.013    0.0546   2.39   0.010861    1.086%
  221   100.0%  17.3     0.02    0.0715   2.46   0.011135    1.114%
  222   100.0%  18.5    0.016    0.0579   2.52   0.011346    1.135%
  223   100.0%  16.5    0.025    0.0739   2.59   0.011626    1.163%
  224   100.0%  17.2     0.02    0.0677   2.66   0.011877    1.188%
  225   100.0%  15.5    0.032    0.0828   2.74   0.012192    1.219%
  226   100.0%  15.9    0.025    0.0718   2.82   0.012456    1.246%
  227   100.0%  14.9    0.032    0.0838   2.90   0.012770    1.277%
  228   100.0%  13.9     0.04     0.097   3.00   0.013140    1.314%
  229   100.0%  17.9    0.016    0.0594   3.06   0.013341    1.334%
  230   100.0%  16.8     0.02    0.0671   3.12   0.013575    1.358%
  231   100.0%  15.0    0.032    0.0833   3.21   0.013877    1.388%
  232   100.0%  16.8     0.02    0.0683   3.27   0.014112    1.411%
  233   100.0%  16.0    0.025    0.0756   3.35   0.014376    1.438%
  234   100.0%  15.7    0.025    0.0748   3.42   0.014634    1.463%
  235   100.0%  20.4     0.01    0.0469   3.47   0.014771    1.477%
  236   100.0%  17.8    0.016     0.062   3.53   0.014971    1.497%
  237   100.0%  19.1    0.013    0.0511   3.58   0.015124    1.512%
  238   100.0%  17.8    0.016    0.0628   3.65   0.015324    1.532%
  239   100.0%  18.1    0.016    0.0648   3.71   0.015531    1.553%
  240   100.0%  16.0    0.025    0.0768   3.79   0.015786    1.579%
  241   100.0%  16.9     0.02    0.0682   3.86   0.016004    1.600%
  242   100.0%  16.1    0.025     0.072   3.93   0.016235    1.624%
  243   100.0%  18.3    0.016    0.0515   3.98   0.016380    1.638%
  244   100.0%  14.1     0.04    0.0935   4.07   0.016696    1.670%
  245   100.0%  16.9     0.02    0.0656   4.14   0.016896    1.690%
  246   100.0%  13.1     0.05    0.0989   4.24   0.017230    1.723%
  247   100.0%  13.1     0.05    0.0957   4.33   0.017547    1.755%
  248   100.0%  14.3     0.04    0.0845   4.42   0.017817    1.782%
  249   100.0%  19.3    0.013    0.0424   4.46   0.017915    1.792%
  250   100.0%  13.9     0.04    0.0924   4.55   0.018213    1.821%
  251   100.0%  15.9    0.025     0.071   4.62   0.018424    1.842%
  252   100.0%  13.2     0.05     0.101   4.73   0.018753    1.875%
  253   100.0%  17.7    0.016    0.0509   4.78   0.018880    1.888%
  254   100.0%  12.7     0.05     0.107   4.88   0.019225    1.923%
  255   100.0%  13.1     0.05    0.0996   4.98   0.019540    1.954%
  256   100.0%  13.3     0.05    0.0951   5.08   0.019836    1.984%
  257   100.0%  13.7     0.04    0.0888   5.17   0.020104    2.010%
  258   100.0%  12.4    0.063     0.103   5.27   0.020427    2.043%
  259   100.0%  12.9     0.05    0.0943   5.36   0.020712    2.071%
  260   100.0%  14.5     0.04    0.0822   5.45   0.020949    2.095%
  261   100.0%  12.9     0.05     0.101   5.55   0.021255    2.126%
  262   100.0%  11.7    0.063      0.11   5.66   0.021595    2.159%
  263   100.0%  12.0    0.063     0.106   5.76   0.021916    2.192%
  264   100.0%  12.6     0.05    0.0996   5.86   0.022210    2.221%
  265   100.0%  14.1     0.04    0.0755   5.94   0.022411    2.241%
  266   100.0%  13.0     0.05    0.0864   6.03   0.022651    2.265%
  267   100.0%  11.8    0.063     0.106   6.13   0.022963    2.296%
  268   100.0%  12.2    0.063     0.102   6.23   0.023258    2.326%
  269   100.0%  13.2     0.05    0.0863   6.32   0.023492    2.349%
