    L  PctRecs  AvgQ  P(AvgQ)      AvgP  AvgEE       Rate   RatePct
-----  -------  ----  -------  --------  -----  ---------  --------
  139   100.0%  32.0  0.00063    0.0104   0.85   0.006096    0.610%
  140   100.0%  31.8  0.00063    0.0111   0.86   0.006132    0.613%
  141   100.0%  30.9  0.00079    0.0129   0.87   0.006181    0.618%
  142   100.0%  30.2    0.001    0.0145   0.89   0.006239    0.624%
  143   100.0%  29.9    0.001     0.016   0.90   0.006307    0.631%
  144   100.0%  29.5    0.001    0.0165   0.92   0.006378    0.638%
  145   100.0%  30.6  0.00079    0.0127   0.93   0.006422    0.642%
  146   100.0%  30.7  0.00079    0.0129   0.94   0.006466    0.647%
  147   100.0%  30.5    0.001    0.0136   0.96   0.006515    0.651%
  148   100.0%  30.8  0.00079    0.0129   0.97   0.006558    0.656%
  149   100.0%  30.6  0.00079    0.0138   0.98   0.006607    0.661%
  150   100.0%  30.4    0.001    0.0143   1.00   0.006658    0.666%
  151   100.0%  30.1    0.001    0.0154   1.01   0.006716    0.672%
  152   100.0%  29.5   0.0013    0.0172   1.03   0.006785    0.678%
  153   100.0%  29.7    0.001    0.0154   1.05   0.006841    0.684%
  154   100.0%  27.7   0.0016    0.0221   1.07   0.006940    0.694%
  155   100.0%  28.0   0.0016    0.0209   1.09   0.007030    0.703%
  156   100.0%  29.4   0.0013    0.0161   1.11   0.007088    0.709%
  157   100.0%  29.4   0.0013    0.0156   1.12   0.007142    0.714%
  158   100.0%  29.2   0.0013    0.0173   1.14   0.007207    0.721%
  159   100.0%  29.1   0.0013    0.0173   1.16   0.007270    0.727%
  160   100.0%  29.3   0.0013    0.0165   1.17   0.007328    0.733%
  161   100.0%  29.3   0.0013    0.0157   1.19   0.007380    0.738%
  162   100.0%  29.2   0.0013    0.0166   1.20   0.007437    0.744%
  163   100.0%  28.8   0.0013     0.018   1.22   0.007502    0.750%
  164   100.0%  28.2   0.0016    0.0199   1.24   0.007577    0.758%
  165   100.0%  28.4   0.0016    0.0193   1.26   0.007648    0.765%
  166   100.0%  27.9   0.0016     0.021   1.28   0.007729    0.773%
  167   100.0%  28.2   0.0016    0.0202   1.30   0.007804    0.780%
  168   100.0%  26.1   0.0025    0.0273   1.33   0.007919    0.792%
  169   100.0%  25.7   0.0025    0.0278   1.36   0.008037    0.804%
  170   100.0%  26.6    0.002    0.0235   1.38   0.008128    0.813%
  171   100.0%  28.3   0.0016     0.019   1.40   0.008191    0.819%
  172   100.0%  27.8   0.0016    0.0202   1.42   0.008261    0.826%
  173   100.0%  28.3   0.0016    0.0188   1.44   0.008322    0.832%
  174   100.0%  28.1   0.0016    0.0194   1.46   0.008386    0.839%
  175   100.0%  28.3   0.0016    0.0193   1.48   0.008448    0.845%
  176   100.0%  28.1   0.0016    0.0197   1.50   0.008512    0.851%
  177   100.0%  25.0   0.0032    0.0314   1.53   0.008642    0.864%
  178   100.0%  25.6   0.0025    0.0288   1.56   0.008755    0.876%
  179   100.0%  23.3    0.005    0.0392   1.60   0.008925    0.892%
  180   100.0%  25.6   0.0025    0.0289   1.63   0.009036    0.904%
  181   100.0%  24.7   0.0032    0.0325   1.66   0.009165    0.917%
  182   100.0%  23.2    0.005    0.0386   1.70   0.009327    0.933%
  183   100.0%  26.4   0.0025    0.0251   1.72   0.009413    0.941%
  184   100.0%  27.1    0.002    0.0226   1.75   0.009485    0.948%
  185   100.0%  27.3    0.002    0.0222   1.77   0.009554    0.955%
  186   100.0%  25.8   0.0025     0.029   1.80   0.009658    0.966%
  187   100.0%  22.3   0.0063    0.0425   1.84   0.009834    0.983%
  188   100.0%  24.5    0.004    0.0318   1.87   0.009951    0.995%
  189   100.0%  22.8    0.005    0.0408   1.91   0.010114    1.011%
  190   100.0%  25.5   0.0025    0.0289   1.94   0.010213    1.021%
  191   100.0%  23.8    0.004    0.0355   1.98   0.010345    1.034%
  192   100.0%  23.3    0.005    0.0375   2.01   0.010486    1.049%
  193   100.0%  21.1   0.0079    0.0481   2.06   0.010681    1.068%
  194   100.0%  21.6   0.0063    0.0452   2.11   0.010859    1.086%
  195   100.0%  23.0    0.005    0.0382   2.14   0.010999    1.100%
  196   100.0%  24.2    0.004    0.0328   2.18   0.011111    1.111%
  197   100.0%  23.2    0.005    0.0372   2.21   0.011243    1.124%
  198   100.0%  20.2     0.01    0.0532   2.27   0.011455    1.145%
  199   100.0%  22.9    0.005    0.0365   2.30   0.011580    1.158%
  200   100.0%  22.6    0.005     0.039   2.34   0.011717    1.172%
  201   100.0%  22.1   0.0063    0.0414   2.38   0.011865    1.187%
  202   100.0%  24.4    0.004    0.0301   2.42   0.011955    1.196%
  203   100.0%  23.0    0.005    0.0366   2.45   0.012077    1.208%
  204   100.0%  21.3   0.0079    0.0441   2.50   0.012234    1.223%
  205   100.0%  19.8     0.01     0.056   2.55   0.012448    1.245%
  206   100.0%  21.7   0.0063      0.04   2.59   0.012581    1.258%
  207   100.0%  22.6    0.005    0.0352   2.63   0.012691    1.269%
  208   100.0%  18.7    0.013    0.0589   2.69   0.012913    1.291%
  209   100.0%  21.7   0.0063    0.0405   2.73   0.013045    1.304%
  210   100.0%  18.3    0.016    0.0601   2.79   0.013269    1.327%
  211   100.0%  18.6    0.013     0.059   2.85   0.013486    1.349%
  212   100.0%  21.3   0.0079    0.0423   2.89   0.013622    1.362%
  213   100.0%  20.4     0.01    0.0477   2.94   0.013782    1.378%
  214   100.0%  21.4   0.0079    0.0421   2.98   0.013914    1.391%
  215   100.0%  18.6    0.013    0.0605   3.04   0.014131    1.413%
  216   100.0%  19.9     0.01    0.0515   3.09   0.014304    1.430%
  217   100.0%  17.9    0.016    0.0654   3.16   0.014539    1.454%
  218   100.0%  20.2     0.01    0.0486   3.20   0.014696    1.470%
  219   100.0%  18.0    0.016    0.0649   3.27   0.014925    1.493%
  220   100.0%  18.0    0.016    0.0646   3.33   0.015151    1.515%
  221   100.0%  17.1     0.02    0.0714   3.40   0.015406    1.541%
  222   100.0%  17.0     0.02    0.0704   3.47   0.015653    1.565%
  223   100.0%  16.6     0.02    0.0728   3.55   0.015910    1.591%
  224   100.0%  16.8     0.02    0.0737   3.62   0.016168    1.617%
  225   100.0%  16.6     0.02    0.0743   3.70   0.016426    1.643%
  226   100.0%  17.3     0.02    0.0662   3.76   0.016646    1.665%
  227   100.0%  17.2     0.02    0.0661   3.83   0.016864    1.686%
  228   100.0%  16.3    0.025    0.0763   3.90   0.017125    1.712%
  229   100.0%  18.6    0.013    0.0561   3.96   0.017295    1.729%
  230   100.0%  17.5    0.016    0.0648   4.03   0.017501    1.750%
  231   100.0%  16.0    0.025    0.0778   4.10   0.017762    1.776%
  232   100.0%  16.2    0.025     0.075   4.18   0.018009    1.801%
  233   100.0%  16.1    0.025    0.0754   4.25   0.018255    1.826%
  234   100.0%  15.5    0.025    0.0811   4.33   0.018524    1.852%
  235   100.0%  16.8     0.02    0.0686   4.40   0.018737    1.874%
  236   100.0%  16.8     0.02    0.0692   4.47   0.018951    1.895%
  237   100.0%  16.6     0.02    0.0715   4.54   0.019172    1.917%
  238   100.0%  15.2    0.032    0.0856   4.63   0.019452    1.945%
  239   100.0%  16.5     0.02    0.0718   4.70   0.019670    1.967%
  240   100.0%  14.9    0.032    0.0865   4.79   0.019949    1.995%
  241   100.0%  14.7    0.032    0.0877   4.88   0.020230    2.023%
  242   100.0%  14.6    0.032     0.087   4.96   0.020506    2.051%
  243   100.0%  16.6     0.02    0.0603   5.02   0.020670    2.067%
  244   100.0%  14.2     0.04    0.0897   5.11   0.020952    2.095%
  245   100.0%  15.8    0.025    0.0705   5.18   0.021155    2.115%
  246   100.0%  15.4    0.032    0.0732   5.26   0.021366    2.137%
  247   100.0%  13.4     0.05    0.0962   5.35   0.021669    2.167%
  248   100.0%  13.5     0.05    0.0969   5.45   0.021973    2.197%
  249   100.0%  15.6    0.025    0.0663   5.52   0.022150    2.215%
  250   100.0%  14.1     0.04     0.086   5.60   0.022406    2.241%
  251   100.0%  14.4     0.04    0.0822   5.68   0.022644    2.264%
  252   100.0%  13.3     0.05    0.0968   5.78   0.022938    2.294%
  253   100.0%  15.8    0.025    0.0634   5.84   0.023098    2.310%
  254   100.0%  13.0     0.05     0.101   5.94   0.023405    2.340%
  255   100.0%  13.1     0.05     0.102   6.05   0.023712    2.371%
  256   100.0%  12.9     0.05     0.103   6.15   0.024021    2.402%
  257   100.0%  12.6     0.05     0.105   6.25   0.024337    2.434%
  258   100.0%  12.8     0.05     0.102   6.36   0.024639    2.464%
  259   100.0%  12.9     0.05     0.104   6.46   0.024945    2.494%
  260   100.0%  12.9     0.05     0.104   6.56   0.025249    2.525%
  261   100.0%  12.4    0.063     0.109   6.67   0.025571    2.557%
  262   100.0%  12.2    0.063     0.109   6.78   0.025890    2.589%
  263   100.0%  12.3    0.063     0.108   6.89   0.026203    2.620%
  264   100.0%  13.0     0.05    0.0981   6.99   0.026475    2.648%
  265   100.0%  12.4    0.063     0.106   7.10   0.026774    2.677%
  266   100.0%  12.6     0.05     0.105   7.20   0.027068    2.707%
  267   100.0%  12.6     0.05     0.105   7.30   0.027359    2.736%
  268   100.0%  12.7     0.05     0.103   7.41   0.027640    2.764%
